Time,PSZ-AC_1:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:5:DesPer 1:Des Heat Cap [W],PSZ-AC_1:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:5:DesPer 2:Des Heat Cap [W],PSZ-AC_1:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:6:DesPer 1:Des Heat Cap [W],PSZ-AC_2:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:6:DesPer 2:Des Heat Cap [W],PSZ-AC_2:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:6:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_3:7:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_3:7:DesPer 1:Des Heat Cap [W],PSZ-AC_3:7:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_3:7:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_3:7:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_3:7:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_3:7:DesPer 2:Des Heat Cap [W],PSZ-AC_3:7:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_3:7:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_3:7:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_4:8:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_4:8:DesPer 1:Des Heat Cap [W],PSZ-AC_4:8:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_4:8:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_4:8:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_4:8:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_4:8:DesPer 2:Des Heat Cap [W],PSZ-AC_4:8:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_4:8:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_4:8:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_5:9:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_5:9:DesPer 1:Des Heat Cap [W],PSZ-AC_5:9:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_5:9:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_5:9:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_5:9:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_5:9:DesPer 2:Des Heat Cap [W],PSZ-AC_5:9:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_5:9:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_5:9:DesPer 2:Des Tot Cool Cap [W],VAV_OTHER:DesPer 1:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Heat Cap [W],VAV_OTHER:DesPer 1:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Sens Cool Cap [W],VAV_OTHER:DesPer 1:Des Tot Cool Cap [W],VAV_OTHER:DesPer 2:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Heat Cap [W],VAV_OTHER:DesPer 2:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Sens Cool Cap [W],VAV_OTHER:DesPer 2:Des Tot Cool Cap [W],VAV_POD_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Heat Cap [W],VAV_POD_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Sens Cool Cap [W],VAV_POD_1:DesPer 1:Des Tot Cool Cap [W],VAV_POD_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Heat Cap [W],VAV_POD_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Sens Cool Cap [W],VAV_POD_1:DesPer 2:Des Tot Cool Cap [W],VAV_POD_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Heat Cap [W],VAV_POD_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Sens Cool Cap [W],VAV_POD_2:DesPer 1:Des Tot Cool Cap [W],VAV_POD_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Heat Cap [W],VAV_POD_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Sens Cool Cap [W],VAV_POD_2:DesPer 2:Des Tot Cool Cap [W],VAV_POD_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Heat Cap [W],VAV_POD_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Sens Cool Cap [W],VAV_POD_3:DesPer 1:Des Tot Cool Cap [W],VAV_POD_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Heat Cap [W],VAV_POD_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Sens Cool Cap [W],VAV_POD_3:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.323548E+01,1.414911E+06,2.323548E+01,0.000000E+00,0.000000E+00,2.323548E+01,4.128226E+05,2.323548E+01,2.222532E+05,7.518087E+05,4.406919E+00,2.683568E+05,4.406919E+00,0.000000E+00,0.000000E+00,4.406919E+00,7.829731E+04,4.406919E+00,4.215328E+04,1.425905E+05,9.294192E+00,5.659646E+05,9.294192E+00,0.000000E+00,0.000000E+00,9.294192E+00,1.651290E+05,9.294192E+00,8.890126E+04,3.007235E+05,3.047893E-01,1.855997E+04,3.047893E-01,0.000000E+00,0.000000E+00,3.047893E-01,5.415163E+03,3.047893E-01,2.915386E+03,9.861782E+03,5.278792E+00,3.214490E+05,5.278792E+00,0.000000E+00,0.000000E+00,5.278792E+00,9.378779E+04,5.278792E+00,5.049296E+04,1.708009E+05,7.483950E+00,1.989248E+05,5.465309E+00,0.000000E+00,0.000000E+00,5.465309E+00,0.000000E+00,5.882897E+00,5.721325E+04,1.867792E+05,7.164367E+00,2.112993E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.542832E+04,1.874956E+05,7.158355E+00,2.113251E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.542832E+04,1.874956E+05,7.167116E+00,2.112874E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.542832E+04,1.874956E+05
00:20:00,2.323548E+01,1.414911E+06,2.323548E+01,0.000000E+00,0.000000E+00,2.323548E+01,4.153209E+05,2.323548E+01,2.197549E+05,7.423697E+05,4.406919E+00,2.683568E+05,4.406919E+00,0.000000E+00,0.000000E+00,4.406919E+00,7.877114E+04,4.406919E+00,4.167945E+04,1.408003E+05,9.294192E+00,5.659646E+05,9.294192E+00,0.000000E+00,0.000000E+00,9.294192E+00,1.661283E+05,9.294192E+00,8.790195E+04,2.969479E+05,3.047893E-01,1.855997E+04,3.047893E-01,0.000000E+00,0.000000E+00,3.047893E-01,5.447934E+03,3.047893E-01,2.882615E+03,9.737967E+03,5.278792E+00,3.214490E+05,5.278792E+00,0.000000E+00,0.000000E+00,5.278792E+00,9.435536E+04,5.278792E+00,4.992538E+04,1.686565E+05,7.487695E+00,1.989163E+05,5.465309E+00,0.000000E+00,0.000000E+00,5.465309E+00,0.000000E+00,5.854926E+00,5.629190E+04,1.839398E+05,7.167079E+00,2.112876E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.480527E+04,1.851416E+05,7.161100E+00,2.113133E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.480527E+04,1.851416E+05,7.169876E+00,2.112756E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.480527E+04,1.851416E+05
00:30:00,2.323548E+01,1.414911E+06,2.323548E+01,0.000000E+00,0.000000E+00,2.323548E+01,4.178191E+05,2.323548E+01,2.172566E+05,7.329731E+05,4.406919E+00,2.683568E+05,4.406919E+00,0.000000E+00,0.000000E+00,4.406919E+00,7.924498E+04,4.406919E+00,4.120562E+04,1.390181E+05,9.294192E+00,5.659646E+05,9.294192E+00,0.000000E+00,0.000000E+00,9.294192E+00,1.671277E+05,9.294192E+00,8.690264E+04,2.931893E+05,3.047893E-01,1.855997E+04,3.047893E-01,0.000000E+00,0.000000E+00,3.047893E-01,5.480704E+03,3.047893E-01,2.849844E+03,9.614708E+03,5.278792E+00,3.214490E+05,5.278792E+00,0.000000E+00,0.000000E+00,5.278792E+00,9.492294E+04,5.278792E+00,4.935781E+04,1.665217E+05,7.491208E+00,1.989083E+05,5.465309E+00,0.000000E+00,0.000000E+00,5.465309E+00,0.000000E+00,5.834321E+00,5.545759E+04,1.812755E+05,7.169616E+00,2.112767E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.418222E+04,1.827982E+05,7.163668E+00,2.113023E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.418222E+04,1.827982E+05,7.172463E+00,2.112644E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.418222E+04,1.827982E+05
00:40:00,2.323548E+01,1.414911E+06,2.323548E+01,0.000000E+00,0.000000E+00,2.323548E+01,4.203174E+05,2.323548E+01,2.147583E+05,7.236188E+05,4.406919E+00,2.683568E+05,4.406919E+00,0.000000E+00,0.000000E+00,4.406919E+00,7.971881E+04,4.406919E+00,4.073178E+04,1.372440E+05,9.294192E+00,5.659646E+05,9.294192E+00,0.000000E+00,0.000000E+00,9.294192E+00,1.681270E+05,9.294192E+00,8.590333E+04,2.894475E+05,3.047893E-01,1.855997E+04,3.047893E-01,0.000000E+00,0.000000E+00,3.047893E-01,5.513475E+03,3.047893E-01,2.817073E+03,9.492004E+03,5.278792E+00,3.214490E+05,5.278792E+00,0.000000E+00,0.000000E+00,5.278792E+00,9.549051E+04,5.278792E+00,4.879023E+04,1.643966E+05,7.494525E+00,1.989007E+05,5.465309E+00,0.000000E+00,0.000000E+00,5.465309E+00,0.000000E+00,5.816879E+00,5.466077E+04,1.786888E+05,7.172005E+00,2.112664E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.355916E+04,1.804653E+05,7.166086E+00,2.112919E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.355916E+04,1.804653E+05,7.174901E+00,2.112539E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.355916E+04,1.804653E+05
00:50:00,2.323548E+01,1.414911E+06,2.323548E+01,0.000000E+00,0.000000E+00,2.323548E+01,4.228157E+05,2.323548E+01,2.122601E+05,7.143066E+05,4.406919E+00,2.683568E+05,4.406919E+00,0.000000E+00,0.000000E+00,4.406919E+00,8.019264E+04,4.406919E+00,4.025795E+04,1.354778E+05,9.294192E+00,5.659646E+05,9.294192E+00,0.000000E+00,0.000000E+00,9.294192E+00,1.691263E+05,9.294192E+00,8.490402E+04,2.857227E+05,3.047893E-01,1.855997E+04,3.047893E-01,0.000000E+00,0.000000E+00,3.047893E-01,5.546246E+03,3.047893E-01,2.784302E+03,9.369852E+03,5.278792E+00,3.214490E+05,5.278792E+00,0.000000E+00,0.000000E+00,5.278792E+00,9.605809E+04,5.278792E+00,4.822266E+04,1.622809E+05,7.497673E+00,1.988934E+05,5.465309E+00,0.000000E+00,0.000000E+00,5.465309E+00,0.000000E+00,5.799792E+00,5.386841E+04,1.761133E+05,7.174265E+00,2.112567E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.293611E+04,1.781429E+05,7.168373E+00,2.112820E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.293611E+04,1.781429E+05,7.177212E+00,2.112440E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.293611E+04,1.781429E+05
01:00:00,2.323548E+01,1.414911E+06,2.323548E+01,0.000000E+00,0.000000E+00,2.323548E+01,4.253140E+05,2.323548E+01,2.097618E+05,7.050362E+05,4.406919E+00,2.683568E+05,4.406919E+00,0.000000E+00,0.000000E+00,4.406919E+00,8.066647E+04,4.406919E+00,3.978412E+04,1.337195E+05,9.294192E+00,5.659646E+05,9.294192E+00,0.000000E+00,0.000000E+00,9.294192E+00,1.701256E+05,9.294192E+00,8.390471E+04,2.820145E+05,3.047893E-01,1.855997E+04,3.047893E-01,0.000000E+00,0.000000E+00,3.047893E-01,5.579017E+03,3.047893E-01,2.751531E+03,9.248248E+03,5.278792E+00,3.214490E+05,5.278792E+00,0.000000E+00,0.000000E+00,5.278792E+00,9.662566E+04,5.278792E+00,4.765508E+04,1.601748E+05,7.500675E+00,1.988865E+05,5.465309E+00,0.000000E+00,0.000000E+00,5.465309E+00,0.000000E+00,5.783057E+00,5.308048E+04,1.735499E+05,7.176415E+00,2.112474E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.231306E+04,1.758309E+05,7.170550E+00,2.112727E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.231306E+04,1.758309E+05,7.179412E+00,2.112345E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.231306E+04,1.758309E+05
01:10:00,2.323548E+01,1.414911E+06,2.323548E+01,0.000000E+00,0.000000E+00,2.323548E+01,4.269795E+05,2.323548E+01,2.080963E+05,6.988790E+05,4.406919E+00,2.683568E+05,4.406919E+00,0.000000E+00,0.000000E+00,4.406919E+00,8.098236E+04,4.406919E+00,3.946823E+04,1.325517E+05,9.294192E+00,5.659646E+05,9.294192E+00,0.000000E+00,0.000000E+00,9.294192E+00,1.707918E+05,9.294192E+00,8.323851E+04,2.795516E+05,3.047893E-01,1.855997E+04,3.047893E-01,0.000000E+00,0.000000E+00,3.047893E-01,5.600864E+03,3.047893E-01,2.729684E+03,9.167481E+03,5.278792E+00,3.214490E+05,5.278792E+00,0.000000E+00,0.000000E+00,5.278792E+00,9.700405E+04,5.278792E+00,4.727670E+04,1.587760E+05,7.503549E+00,1.988798E+05,5.465309E+00,0.000000E+00,0.000000E+00,5.465309E+00,0.000000E+00,5.766813E+00,5.249450E+04,1.717253E+05,7.178469E+00,2.112386E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.189769E+04,1.742953E+05,7.172630E+00,2.112637E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.189769E+04,1.742953E+05,7.181518E+00,2.112255E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.189769E+04,1.742953E+05
01:20:00,2.323548E+01,1.414911E+06,2.323548E+01,0.000000E+00,0.000000E+00,2.323548E+01,4.286450E+05,2.323548E+01,2.064307E+05,6.927401E+05,4.406919E+00,2.683568E+05,4.406919E+00,0.000000E+00,0.000000E+00,4.406919E+00,8.129824E+04,4.406919E+00,3.915235E+04,1.313874E+05,9.294192E+00,5.659646E+05,9.294192E+00,0.000000E+00,0.000000E+00,9.294192E+00,1.714580E+05,9.294192E+00,8.257230E+04,2.770961E+05,3.047893E-01,1.855997E+04,3.047893E-01,0.000000E+00,0.000000E+00,3.047893E-01,5.622712E+03,3.047893E-01,2.707837E+03,9.086956E+03,5.278792E+00,3.214490E+05,5.278792E+00,0.000000E+00,0.000000E+00,5.278792E+00,9.738243E+04,5.278792E+00,4.689831E+04,1.573813E+05,7.506310E+00,1.988733E+05,5.465309E+00,0.000000E+00,0.000000E+00,5.465309E+00,0.000000E+00,5.751058E+00,5.191460E+04,1.699135E+05,7.180440E+00,2.112301E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.148232E+04,1.727643E+05,7.174625E+00,2.112551E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.148232E+04,1.727643E+05,7.183540E+00,2.112168E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.148232E+04,1.727643E+05
01:30:00,2.323548E+01,1.414911E+06,2.323548E+01,0.000000E+00,0.000000E+00,2.323548E+01,4.303105E+05,2.323548E+01,2.047652E+05,6.866197E+05,4.406919E+00,2.683568E+05,4.406919E+00,0.000000E+00,0.000000E+00,4.406919E+00,8.161413E+04,4.406919E+00,3.883646E+04,1.302266E+05,9.294192E+00,5.659646E+05,9.294192E+00,0.000000E+00,0.000000E+00,9.294192E+00,1.721242E+05,9.294192E+00,8.190609E+04,2.746479E+05,3.047893E-01,1.855997E+04,3.047893E-01,0.000000E+00,0.000000E+00,3.047893E-01,5.644559E+03,3.047893E-01,2.685989E+03,9.006671E+03,5.278792E+00,3.214490E+05,5.278792E+00,0.000000E+00,0.000000E+00,5.278792E+00,9.776081E+04,5.278792E+00,4.651993E+04,1.559908E+05,7.508969E+00,1.988671E+05,5.465309E+00,0.000000E+00,0.000000E+00,5.465309E+00,0.000000E+00,5.735794E+00,5.134078E+04,1.681148E+05,7.182338E+00,2.112219E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.106696E+04,1.712379E+05,7.176548E+00,2.112468E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.106696E+04,1.712379E+05,7.185490E+00,2.112084E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.106696E+04,1.712379E+05
01:40:00,2.323548E+01,1.414911E+06,2.323548E+01,0.000000E+00,0.000000E+00,2.323548E+01,4.319760E+05,2.323548E+01,2.030997E+05,6.805174E+05,4.406919E+00,2.683568E+05,4.406919E+00,0.000000E+00,0.000000E+00,4.406919E+00,8.193002E+04,4.406919E+00,3.852057E+04,1.290692E+05,9.294192E+00,5.659646E+05,9.294192E+00,0.000000E+00,0.000000E+00,9.294192E+00,1.727904E+05,9.294192E+00,8.123989E+04,2.722070E+05,3.047893E-01,1.855997E+04,3.047893E-01,0.000000E+00,0.000000E+00,3.047893E-01,5.666406E+03,3.047893E-01,2.664142E+03,8.926625E+03,5.278792E+00,3.214490E+05,5.278792E+00,0.000000E+00,0.000000E+00,5.278792E+00,9.813920E+04,5.278792E+00,4.614155E+04,1.546045E+05,7.511535E+00,1.988610E+05,5.465309E+00,0.000000E+00,0.000000E+00,5.465309E+00,0.000000E+00,5.721018E+00,5.077301E+04,1.663296E+05,7.184171E+00,2.112140E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.065159E+04,1.697161E+05,7.178406E+00,2.112388E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.065159E+04,1.697161E+05,7.187376E+00,2.112002E+05,5.794760E+00,0.000000E+00,0.000000E+00,5.794760E+00,0.000000E+00,5.794760E+00,5.065159E+04,1.697161E+05
